ref,name,address,lat,long,description,,,,,,,
11,"Державне науково-виробниче підприємство ""Геосистема""","м. Вінниця, вул. 600-річчя, 25",49.220181,28.427250,"<div align=""center""><b>Державне науково-виробниче підприємство ""Геосистема""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 21027<br>
<u>Адреса:</u> м. Вінниця, вул. 600-річчя, 25<br>
<u>Телефони:</u> (0432)46-65-19,46-47-71 <br>
<a href=""http://www.vingeo.com/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> info@vingeo.com<br>",,,,,,,
12,"Державне підприємство ""Запоріжгеоінформ""","м. Запоріжжя, вул. Артема, 73",47.817106,35.172316,"<div align=""center""><b>Державне підприємство ""Запоріжгеоінформ""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 69002<br>
<u>Адреса:</u> м. Запоріжжя, вул. Артема, 73<br>
<u>Телефони:</u> 0-617-87-52-80, 0-612-63-72-70<br>
<u>E-mail:</u> zpgeoinform@rambler.ru<br>",,,,,,,
13,"Державне підприємство ""Східгеоінформ""","м. Харків, вул. Іванова, 27",50.002880,36.241975,"<div align=""center""><b>Державне підприємство ""Східгеоінформ""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 61002<br>
<u>Адреса:</u> м. Харків, вул. Іванова, 27<br>
<u>Телефони:</u> +38(057)700-53-70, 700-54-32<br>
<u>E-mail:</u> eastgeo@ukrpost.ua<br>",,,,,,,
14,"Державне підприємство ""Донбасгеоінформ""","м. Артемівськ, вул. Комсомольська, 24",48.586002,37.995395,"<div align=""center""><b>Державне підприємство ""Донбасгеоінформ""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 84500<br>
<u>Адреса:</u> Донецька область, м. Артемівськ, вул. Комсомольська, 24<br>
<u>Телефони:</u> 0-627-42-25-58, 0-627-42-25-52<br>
<u>E-mail:</u> dgi@artnet.dn.ua<br>",,,,,,,
15,"Державне підприємство ""Азовінжгеодезія""","
м. Маріуполь, вул.Зелінского 87",47.096243,37.516548,"<div align=""center""><b>Державне підприємство ""Азовінжгеодезія""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 87548<br>
<u>Адреса:</u> Донецька обл., м. Маріуполь, вул.Зелінского 87<br>
<u>Телефони:</u> +380(629)34-62-17<br>
<u>E-mail:</u> vgeo@ukr.net<br>",,,,,,,
16,"Державне підприємство ""Севгеоцентр""","АР Крим, м. Севастополь, вул. Очаковців, 50",44.602777,33.520782,"<div align=""center""><b>Державне підприємство ""Севгеоцентр""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 69002<br>
<u>Адреса:</u> АР Крим, м. Севастополь, вул. Очаковців, 50<br>
<u>Телефони:</u> 0-692-54-85-70<br>
<u>E-mail:</u> sevgeo@yandex.ru<br>",,,,,,,
17,"Державне підприємство ""Укргеодезмарк""","м. Київ, вул. Прорізна, 8",50.448571,30.520199,"<div align=""center""><b>Державне підприємство ""Укргеодезмарк""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Київ, вул. Прорізна, 8<br>
<u>Телефони:</u> 0-442-79-48-74, 0-442-78-61-56<br>
<u>E-mail:</u> geodezmark@metrobud.kiev.ua<br>",,,,,,,
18,Геотоп,"м. Київ, вул. Попудренка, 52",50.460012,30.634048,"<div align=""center""><b>Геотоп</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Київ, вул. Попудренка, 52, 3 поверх, офіс 317<br>
<u>Телефони:</u> 097-891-01-18, (044) 337-40-38<br>
<a href=""http://geodez.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> topogeo@ukr.net<br>",,,,,,,
19,"Науково-виробниче підприємство ""Українська геодезична компанія""","м. Київ, вул. Василя Верховинця, 10",50.435412,30.396253,"<div align=""center""><b>Науково-виробниче підприємство ""Українська геодезична компанія""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 03148<br>
<u>Адреса:</u> м. Київ, вул. Василя Верховинця, 10<br>
<u>Телефони:</u> +38(044)405-31-00, (044)594-08-34, (044)276-71-33<br>
<a href=""http://www.ugeo.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> kvn@ugeo.com.ua<br>",,,,,,,
20,Geoizyiskaniya,"Київська область, Бориспільський район, с. Мала Олександрівка, вул. Лісова, 54",50.394143,30.822069,"<div align=""center""><b>Geoizyiskaniya</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> Київська область, Бориспільський район, с. Мала Олександрівка, вул. Лісова, 54<br>
<u>Телефони:</u> +38 (097) 9511029, +38 (063) 9156241<br>
<a href=""http://geoizyiskaniya.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> geoizyiskaniya@gmail.com<br>",,,,,,,
21,ГЕОБУРСЕРВИС,"м. Київ, просп. Перемоги, 96",50.458478,30.397947,"<div align=""center""><b>ГЕОБУРСЕРВИС</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Київ, просп. Перемоги, 96<br>
<u>Телефони:</u> +38-098-888-6-777<br>
<a href=""http://www.gbs-c.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> gbsgbs@ya.ru<br>",,,,,,,
22,Geodeziya.kiev.ua,"
м. Київ, бул. Ромена Роллана, 7",50.432317,30.368903,"<div align=""center""><b>Geodeziya.kiev.ua</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Київ, бул. Ромена Роллана, 7<br>
<u>Телефони:</u> (097) 087-70-49, (093) 092-13-41, (044) 274-26-18<br>
<a href=""http://geodeziya.kiev.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> box@geodeziya.kiev.ua<br>",,,,,,,
23,ГІЛЬДІЯ ІНЖИНІРИНГ,"м. Київ, вул. Хрещатик, 44",50.443917,30.520381,"<div align=""center""><b>Гільдія Інжиніринг</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Київ, вул. Хрещатик, 44<br>
<u>Телефони:</u> 097-572-46-57, 095-061-50-58, 063-179-86-45, 044-221-49-96<br>
<a href=""http://geotop.com.ua/index_ua.php"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> a@geotop.com.ua<br>",,,,,,,
24,ПЛАНЕТА-ГЕО,"м. Київ, просп. Визволителів, 1",50.455539,30.605275,"<div align=""center""><b>Планета-Гео</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 02125<br>
<u>Адреса:</u> м. Київ, просп. Визволителів, 1<br>
<u>Телефони:</u> +38 (044) 492 85 94; 067-230-31-54<br>
<a href=""http://geo.planeta.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> geo@planeta.ua, planeta-geo@ukr.net<br>",,,,,,,
25,МагистральБудПроект,"м. Київ, вул. Маршала Тимошенка, 21",50.513211,30.494067,"<div align=""center""><b> МагистральБудПроект</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Київ, вул. Маршала Тимошенка, 21<br>
<u>Телефони:</u> (067)239-78-96<br>
<a href=""http://www.mbp.kiev.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> Kosta_@bigmir.net, Kosta1344@gmail.com<br>",,,,,,,
26,"Експертний центр ""Земсервисгруп""","м. Київ, вул. Народного Ополчення, 1",50.422972,30.459208,"<div align=""center""><b> Експертний центр ""Земсервисгруп""</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Київ, вул. Народного Ополчення, 1, бізнес центр ""АртКапитал"", офіс № 423<br>
<u>Телефони:</u> (O44)228-82-99, (O97)952-75-95, (050)934-25-55 <br>
<a href=""http://zemservice.kiev.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> 5555522@gmail.com<br>",,,,,,,
27,Промгеопроект,"м. Київ, вул. Марини Раскової, 21",50.442400,30.608476,"<div align=""center""><b>Промгеопроект</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 02002<br>
<u>Адреса:</u> м. Київ, вул. Марини Раскової, 21<br>
<u>Телефони:</u> +38(044)466-49-29<br>
<a href=""http://www.promgeo.kiev.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> r_semchuk@promgeo.kiev.ua<br>",,,,,,,
28,Дельта,"м. Київ, вул. Лютеранська, 27-29",50.443005,30.528942,"<div align=""center""><b>Дельта</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Київ, вул. Лютеранська, 27-29, офіс 25<br>
<u>Телефони:</u> (067)658-50-44<br>
<a href=""http://land.kiev.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> office@land.kiev.ua<br>",,,,,,,
29,ГЕОЦЕНТРПРОЕКТ,"м. Київ, просп. Леся Курбаса, 2Б",50.432811,30.394415,"<div align=""center""><b>ГеоЦентрПроект</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 03148<br>
<u>Адреса:</u> м. Київ, просп. Леся Курбаса, 2Б, НПП ""Сатурн""<br>
<u>Телефони:</u> (044)247-19-01<br>
<a href=""http://www.geocentr.kiev.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> geocenter@svitonline.com<br>",,,,,,,
30,Бучанське земельно-кадастрове бюро,"Київська обл., м.Ірпінь, вул.Шевченка, 3",50.519462,30.246133,"<div align=""center""><b>Бучанське земельно-кадастрове бюро</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 08200<br>
<u>Адреса:</u> Київська обл., м.Ірпінь, вул.Шевченка, 3<br>
<u>Телефони:</u> (067)239-78-96<br>
<a href=""http://zkb.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>",,,,,,,
31,Геосфера,"
м. Київ, бул. Ромена Роллана, 7",50.432365,30.368706,"<div align=""center""><b>Геосфера</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Київ, бул. Ромена Роллана, 7, офіс 205<br>
<u>Телефони:</u> (044)274-26-18, (067)595-02-03, (063)750-80-44<br>
<a href=""http://geosfera.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> pochta@geosfera.com.ua<br>",,,,,,,
32,UkrTrackLand,"м. Київ, Кудрявський узвіз, 5Б",50.461016,30.495738,"<div align=""center""><b>UkrTrackLand</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 04053<br>
<u>Адреса:</u> м. Київ, Кудрявський узвіз, 5Б, офіс 317<br>
<u>Телефони:</u> +38(044)592-00-77, +38(096)512-22-22, +38(067)592-00-77<br>
<a href=""http://ukrtrackland.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> geo@ukrtrackland.com.ua<br>",,,,,,,
33,Деметра.5,"м. Київ, вул. Артема 60",50.456965,30.489943,"<div align=""center""><b>Деметра.5</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 04050<br>
<u>Адреса:</u> м. Київ, вул. Артема 60 (у будівлі ВАТ «Інститут транспорту нафти», оф 405)<br>
<u>Телефони:</u> (044) 390-71-26, (044) 495-28-29, (044) 484-60-12<br>
<a href=""http://www.demetra5.kiev.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> d5@demetra5.kiev.ua, aspc@antares-spc.com.ua<br>",,,,,,,
34,ВВОСС,"с. Софіївська Борщагівка, Києво-Святошинський р-н, Київська область
вул. Київська, 24",50.408484,30.381086,"<div align=""center""><b>ВВОСС</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 02094<br>
<u>Адреса:</u> с. Софіївська Борщагівка, Києво-Святошинський р-н, Київська область
вул. Київська, 24, оф. 25 (4 поверх)<br>
<u>Телефони:</u> (044)200-17–43, (067)728-54-41<br>
<a href=""http://геодезія.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> vvoss@ukr.net<br>",,,,,,,
35,Инженерстройпроект,"м. Київ, вул. Академіка Туполєва, 12М",50.465772,30.396635,"<div align=""center""><b>Инженерстройпроект</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 02094<br>
<u>Адреса:</u> м. Київ, вул. Академіка Туполєва, 12М<br>
<u>Телефони:</u> +38(044)500-49-32<br>
<a href=""http://inbud.kiev.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> info@inbud.kiev.ua/<br>",,,,,,,
36,ГЕО-МАКС,"м. Київ, вул. Тургенєвська, 38",50.451270,30.492274,"<div align=""center""><b>ГЕО-МАКС</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 02094<br>
<u>Адреса:</u> м. Київ, вул. Тургенєвська, 38, оф.212<br>
<u>Телефони:</u> +38(044)284-04-94<br>
<a href=""http://www.gmax.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> info@gmax.com.ua<br>",,,,,,,
37,БУРВОДСЕРВІС,"м. Львів, вул. Зелена 145/15",49.816972,24.063699,"<div align=""center""><b>БУРВОДСЕРВІС</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 79026<br>
<u>Адреса:</u> м. Львів, вул. Зелена 145/15<br>
<u>Телефони:</u> 032-241-80-86, 067-671-14-38, 032-241-80-85<br>
<a href=""http://bvs.lviv.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> burvodservis@ukr.net<br>",,,,,,,
38,Геотехнічний Інститут,"м. Львів, вул. Перфецького, 23",49.813447,23.986924,"<div align=""center""><b>Геотехнічний Інститут</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 79053<br>
<u>Адреса:</u> м. Львів, вул. Перфецького, 23<br>
<u>Телефони:</u> (032)2949757, (032)2949758<br>
<u>E-mail:</u> geo-tex@svitonline.com<br>",,,,,,,
39,МОНІТОРИНГ,"м. Львів, вул. Академіка Богомольця, 9/115",49.837718,24.036319,"<div align=""center""><b>Моніторинг</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 79005<br>
<u>Адреса:</u> м. Львів, вул. Академіка Богомольця, 9/115<br>
<u>Телефони:</u> (032)2257881, (050)3173302, (097)6000901<br>
<a href=""http://monitoring.lviv.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> vomonitoring@ukr.net<br>",,,,,,,
40,НАВГЕОТЕХ,"м. Львів, вул. Героїв УПА, 73, корпус 5а",49.829049,23.995071,"<div align=""center""><b>НавГеоТех</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 79015<br>
<u>Адреса:</u> м. Львів, вул. Героїв УПА, 73, корпус 5а<br>
<u>Телефони:</u> (032)2325495, (032)2325416<br>
<a href=""http://navgeotech.com/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u>  office@navgeotech.com<br>",,,,,,,
41,ГІЛЬДІЯ ІНЖИНІРИНГ,"м. Львів, вул. Богдана Хмельницького, 176",49.861837,24.051542,"<div align=""center""><b>Гільдія Інжиніринг</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Львів, вул. Богдана Хмельницького, 176<br>
<u>Телефони:</u> (097)5724657<br>
<a href=""http://geotop.com.ua/index_ua.php"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> a@geotop.com.ua<br>",,,,,,,
42,Орендне підприємство Львівське обласне проектно-виробниче архітектурно-планувальне бюро,"м. Львів, вул. Пекарська, 21",49.838176,24.040499,"<div align=""center""><b>Орендне підприємство Львівське обласне проектно-виробниче архітектурно-планувальне бюро</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Львів, вул. Пекарська, 21<br>
<u>Телефони:</u> (032)276-18-39, (032)276-37-76, (032)276-18-16<br>
<u>E-mail:</u> APB3@yandex.ru<br>",,,,,,,
43,Ордо Плюс,"м. Львів, просп. В`ячеслава Чорновола, 43А",49.853996,24.022383,"<div align=""center""><b>Ордо Плюс</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Львів, просп. В`ячеслава Чорновола, 43А<br>
<u>Телефони:</u> +38(032)232-41-02<br>
<u>E-mail:</u> ordoplus@ukr.net<br>",,,,,,,
44,Базис плюс,"м. Львів, вул. Литвиненка, 3",49.813711,24.038116,"<div align=""center""><b>Базис плюс</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Львів, вул. Литвиненка, 3, оф. 12<br>
<u>Телефони:</u> (050)625-47-84, (032)244-01-95<br>",,,,,,,
45,Геовіват,"м. Львів, вул. Карпінського, 6",49.836013,24.012349,"<div align=""center""><b>Геовіват</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Львів, вул. Карпінського, 6, оф. 516<br>
<u>Телефони:</u> (067)584-13-99, (032)232-52-13<br>",,,,,,,
46,Інститут геоінформаційних систем,"м. Львів, вул. Володимира Винниченка, 1",49.838997,24.035271,"<div align=""center""><b>Інститут геоінформаційних систем</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 79008<br>
<u>Адреса:</u> м. Львів, вул. Володимира Винниченка, 1<br>
<u>Телефони:</u> (032)2367038<br>
<u>E-mail:</u> igis@ukr.net<br>",,,,,,,
47,Картограф,"м. Львів, вул. Личаківська, 84, оф. 25",49.838164,24.055243,"<div align=""center""><b>Картограф</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Львів, вул. Личаківська, 84, оф. 25<br>
<u>Телефони:</u> 032)275-90-00, (032)225-77-86<br>",,,,,,,
48,ГеоБудСтандарт,"м. Львів, пл. Ринок, 18",49.840910,24.031923,"<div align=""center""><b>ГеоБудСтандарт</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 79015<br>
<u>Адреса:</u> м. Львів, пл. Ринок, 18, офіс 1<br>
<u>Телефони:</u> (032)236-72-81<br>
<a href=""http://www.gbs.lviv.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> gbs@mis.lviv.ua <br>",,,,,,,
49,Експертна оцінка,"м. Львів, вул. Івана Франка, 78",49.829664,24.031042,"<div align=""center""><b>Експертна оцінка</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Львів, вул. Івана Франка, 78<br>
<u>Телефони:</u> (067)14-22-914, (093)249-32-69<br>",,,,,,,
50,Ингер-Град,"м. Львів, вул. Героїв УПА, 72",49.831781,23.997490,"<div align=""center""><b>Ингер-Град</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Львів, вул. Героїв УПА, 72, Бізнес-центр ""Технопарк"" корпус 1<br>
<u>Телефони:</u> 032-253-2-077, 067-910-77-33<br>
<a href=""http://www.inger-grad.com/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> ingergrad.lvov@gmail.com<br>",,,,,,,
51,ГІЛЬДІЯ ІНЖИНІРИНГ,"м. Дніпропетровськ, вул. наб. В.І. Леніна, 15А",48.471286 ,35.046253,"<div align=""center""><b>Гільдія Інжиніринг</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 49000<br>
<u>Адреса:</u> м. Дніпропетровськ, вул. наб. В.І. Леніна, 15А, офіс 65, 4-й поверх<br>
<u>Телефони:</u> (097)5724657, (056)767-49-47<br>
<a href=""http://geotop.com.ua/index_ua.php"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> a@geotop.com.ua<br>",,,,,,,
52,GEOGRUP,"м. Дніпропетровськ, вул. Рогальова, 14",48.463379,35.058436,"<div align=""center""><b>GEOGRUP</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Дніпропетровськ, вул. Рогальова, 14<br>
<u>Телефони:</u> (050)320-04-94<br>
<a href=""http://geogrup.com.ua/index.html"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> geogrup@meta.ua, p.kovalev@meta.ua<br>",,,,,,,
53,Основа,"м. Дніпропетровськ, вул. наб. В.І. Леніна, 29А",48.469842,35.050509,"<div align=""center""><b>Основа</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Адреса:</u> м. Дніпропетровськ, вул. наб. В.І. Леніна, 29А<br>
<u>Телефони:</u> (056)745-04-28, 050-320-54-64, 098-352-30-93<br>
<a href=""http://osnova.dp.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>",,,,,,,
54,Архетон-Днепропетровск,"м. Дніпропетровськ, Шинна вул., 35",48.419913,35.020251,"<div align=""center""><b>Архетон-Днепропетровск</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 49107<br>
<u>Адреса:</u> м. Дніпропетровськ, Шинна вул., 35<br>
<u>Телефони:</u> 7894846<br>
<a href=""http://www.archeton.dp.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> brusentsov@archeton.com.ua<br>",,,,,,,
55,Южстрой,"м. Дніпропетровськ, вул. наб. Заводська, 7",48.486483,34.933402,"<div align=""center""><b>Южстрой</b></div>
<div align=""center""><i>Контакти</i></div>
<u>Поштовий індекс:</u> 49600<br>
<u>Адреса:</u> м. Дніпропетровськ, вул. наб. Заводська, 7<br>
<u>Телефони:</u> 324–086, 716–09–02<br>
<a href=""http://ugstroy.com.ua/"" target=""_blank"">Офіційна веб-сторінка</a><br>
<u>E-mail:</u> ugstroiy@ukr.net<br>",,,,,,,
